Date,MSFT,AAPL,AMZN,GOOG,SP500
2014-06-06 00:00:00-04:00,-1.1112816502855576,-1.0575192238287112,-1.4224339037750042,-1.1644867854065204,-1.2440654813221694
2014-06-09 00:00:00-04:00,-1.112870957470793,-1.0519853719233982,-1.4245025183867899,-1.157286257371712,-1.2421589251578824
2014-06-10 00:00:00-04:00,-1.1140816918472884,-1.0499229169977484,-1.4198218891782681,-1.1592386986370813,-1.2426589637676728
2014-06-11 00:00:00-04:00,-1.1159737758878878,-1.051385356220269,-1.4171622366252792,-1.1613652959698073,-1.2498473367123317
2014-06-12 00:00:00-04:00,-1.1180924677855146,-1.0572726646294792,-1.4260182417872265,-1.1706800054035587,-1.2642032264643133
2014-06-13 00:00:00-04:00,-1.113173598673444,-1.0610601606586105,-1.4256750666779459,-1.170170143417782,-1.2579003491554555
2014-06-16 00:00:00-04:00,-1.1111303635974104,-1.0576102725163459,-1.424388114562079,-1.1794724369177503,-1.2562126552616286
2014-06-17 00:00:00-04:00,-1.1097680712273414,-1.0580602762076634,-1.426294687392901,-1.181051829322095,-1.251826762185726
2014-06-18 00:00:00-04:00,-1.1099951538688646,-1.057685149145786,-1.41794393548605,-1.1681678957053976,-1.2362103478406006
2014-06-19 00:00:00-04:00,-1.111054635470391,-1.058885180552044,-1.4249791525032822,-1.166265165745788,-1.2336058741049682
2014-06-20 00:00:00-04:00,-1.1097680712273414,-1.062447561531109,-1.4276483690123738,-1.1644494900345435,-1.2300741924588625
2014-06-23 00:00:00-04:00,-1.1074220592959438,-1.0627475532106154,-1.4247503812187126,-1.153766792065153,-1.2303450679010939
2014-06-24 00:00:00-04:00,-1.1092384152095238,-1.0648100081362653,-1.427686479377376,-1.1541771838687822,-1.2435028743003709
2014-06-25 00:00:00-04:00,-1.1071195198328274,-1.0645099841126424,-1.4245597202991453,-1.1367291815357787,-1.233553733761628
2014-06-26 00:00:00-04:00,-1.109465362198334,-1.062484983673771,-1.426227957889295,-1.1400247794692207,-1.2359603285357053
2014-06-27 00:00:00-04:00,-1.1054544506073947,-1.05843514451661,-1.4272956299469908,-1.1384826824368528,-1.232064046000925
2014-06-30 00:00:00-04:00,-1.1096168184523725,-1.054872763537545,-1.4270954414361727,-1.1409201538204325,-1.2328245319842785
2014-07-01 00:00:00-04:00,-1.1083302881225012,-1.052660393632433,-1.4198409807256211,-1.1317297940070228,-1.2191875431125474
2014-07-02 00:00:00-04:00,-1.1081032733073346,-1.0528103086118952,-1.419402456974131,-1.1321464175628568,-1.217833165901391
2014-07-03 00:00:00-04:00,-1.1088600797930317,-1.0507479183744781,-1.4149792181887826,-1.1291679730031015,-1.206561059529065
2014-07-07 00:00:00-04:00,-1.1074220592959438,-1.0434730797163039,-1.418735161938071,-1.1322521670678374,-1.214676513212628
2014-07-08 00:00:00-04:00,-1.1090113664811792,-1.045798007146449,-1.428020126895406,-1.1461309452178945,-1.2291991248917296
2014-07-09 00:00:00-04:00,-1.1098438671807171,-1.045648027478754,-1.422147894213227,-1.1399252617164455,-1.2196980097910057
2014-07-10 00:00:00-04:00,-1.1096924448398569,-1.0469606487541616,-1.4241021413651538,-1.1461185292841114,-1.2281884924319117
2014-07-11 00:00:00-04:00,-1.1066652867234248,-1.046285562356894,-1.4066761406030364,-1.1360700429208392,-1.2251778327045015
2014-07-14 00:00:00-04:00,-1.1062868834805764,-1.0416730972951493,-1.3979821772220526,-1.1289938645063724,-1.215249548303095
2014-07-15 00:00:00-04:00,-1.1039410072018916,-1.0459104676391329,-1.3988210779951789,-1.1291057981929307,-1.2192291282156504
2014-07-16 00:00:00-04:00,-1.0916057329659572,-1.0479355004221207,-1.3974292860107036,-1.1317422575114333,-1.210592779784961
2014-07-17 00:00:00-04:00,-1.0882003072593895,-1.054272844866765,-1.4007181232347503,-1.1428477632182357,-1.235022692556564
2014-07-18 00:00:00-04:00,-1.0869894033170027,-1.0492479599769464,-1.3947982162314663,-1.1162964553201868,-1.2140827491563944
2014-07-21 00:00:00-04:00,-1.0858542614148134,-1.0510853645407627,-1.3937495993562716,-1.1232732111231336,-1.2188645273269758
2014-07-22 00:00:00-04:00,-1.0859299556286546,-1.0481603890633722,-1.3927200740284302,-1.1167193106282265,-1.2085507858995583
2014-07-23 00:00:00-04:00,-1.0856273144260034,-1.0388981661736867,-1.395293941895312,-1.1151772135958584,-1.2049253788070093
2014-07-24 00:00:00-04:00,-1.0891840268207185,-1.0394981818768156,-1.3948458905525711,-1.1184479320911067,-1.2039148735187606
2014-07-25 00:00:00-04:00,-1.088427322074556,-1.037098248440765,-1.4278294659758386,-1.123832831985298,-1.2139577395039467
2014-07-28 00:00:00-04:00,-1.0924381658391389,-1.032035876720052,-1.4312612897983479,-1.1218679272155179,-1.213363848276144
2014-07-29 00:00:00-04:00,-1.0930435499839757,-1.0344358101561026,-1.4316521392287331,-1.1280735631463392,-1.2226983686213169
2014-07-30 00:00:00-04:00,-1.0953895958285518,-1.0352982336754941,-1.429259404690168,-1.1258226161932718,-1.2225733589688694
2014-07-31 00:00:00-04:00,-1.0985679728067745,-1.044860609965268,-1.4383346535454347,-1.1454967336117765,-1.2636197633051784
2014-08-01 00:00:00-04:00,-1.100838392263866,-1.0428732257337567,-1.4439876243518686,-1.1523739240913204,-1.2693704616609054
2014-08-04 00:00:00-04:00,-1.0969786656215392,-1.04489803210793,-1.437705487056803,-1.1435690766433457,-1.2549521306684848
2014-08-05 00:00:00-04:00,-1.099173424777968,-1.046660463009957,-1.4389733476253168,-1.1536175630066179,-1.2745169678917307
